RUC_ID,Tipo_empresa,Grupo_Empresarial,Sector,N_locales,N_trabajadores,Crecimiento_Anual,Tamaño_Fact,Cliente
20100257298,PRIVADA,1,Chemicals,5,910,7.95%, 3 ,SI
20100144922,PRIVADA,1,Automotive,21,469,-5.73%, 3 ,NO
20515657119,PRIVADA,1,Energy,2,81,3.78%, 1 ,NO
20429683581,PRIVADA,1,Hospitality & Leisure,1,3046,4.53%, 3 ,NO
20268477960,PRIVADA,1,Consumer,1,30,14.14%, 1 ,NO
20495175210,PRIVADA,1,Consumer,1,190,-5.83%, 1 ,SI
20262254268,PRIVADA,1,Energy,57,1329,5.05%, 3 ,NO
20100082803,PRIVADA,1,Retail,60,531,-9.18%, 3 ,SI
20554348913,PRIVADA,1,Chemicals,1,4,-5.73%, 3 ,SI
20507024051,PRIVADA,1,Power & Utilities,1,83,-1.17%, 3 ,NO
20100018625,PRIVADA,1,Pharma & Life Sciences ,1,1845,8.24%, 3 ,NO
20407921047,PRIVADA,1,Consumer,1,12,-15.47%, 1 ,NO
20601642574,PRIVADA,1,Chemicals,1,0,8.24%, 3 ,NO
20333372216,PRIVADA,1,Technology,1,110,21.59%, 1 ,NO
20347764664,PRIVADA,1,Automotive,1,192,25.08%, 3 ,NO
20228319768,PRIVADA,1,Banking & Capital Markets,2,2149,7.95%, 3 ,SI
20100116635,PRIVADA,1,Banking & Capital Markets,24,233,7.95%, 3 ,NO
20100123330,PRIVADA,1,Hospitality & Leisure,31,4866,8.24%, 3 ,SI
20513462388,PRIVADA,1,Transportation & Logistics,1,844,4.32%, 3 ,SI
20131823020,PRIVADA,1,Consumer,1,3706,7.95%, 3 ,NO
20100356270,PRIVADA,1,Engineering & Construction,2,885,72.57%, 3 ,NO
20100163471,PRIVADA,1,Engineering & Construction,24,1511,25.92%, 3 ,NO
20100901481,PRIVADA,1,Business Services,29,13788,-0.27%, 3 ,NO
20100003946,PRIVADA,1,Consumer,8,111,9.29%, 3 ,NO
20600281489,PRIVADA,1,Consumer,1,413,12.14%, 3 ,NO
20513646519,PRIVADA,1,Technology,1,167,47.47%, 1 ,NO
20557158406,PRIVADA,1,Telecommunications,1,11,39.54%, 1 ,NO
20500985322,PRIVADA,1,Consumer,1,1113,21.58%, 3 ,NO
20553511802,PRIVADA,1,Chemicals,1,16,188.95%, 3 ,NO
20100011701,PRIVADA,1,Engineering & Construction,16,423,4.56%, 3 ,NO
20356922311,PRIVADA,1,Consumer,1,1080,21.69%, 3 ,NO
20100049008,PRIVADA,1,Media & Entertainment,1,1254,-3.67%, 3 ,SI
20308445641,PRIVADA,1,Engineering & Construction,1,575,280.65%, 3 ,NO
20116544289,PUBLICA,1,Power & Utilities,31,277,4.56%, 3 ,NO
20254053822,PRIVADA,1,Metals and Mining,44,580,1.35%, 3 ,SI
20373209601,PRIVADA,1,Transportation & Logistics,1,775,47.19%, 3 ,NO
20524936179,PRIVADA,1,Engineering & Construction,1,72,102.74%, 3 ,NO
20543166660,PRIVADA,1,Banking & Capital Markets,1,886,27.79%, 3 ,SI
20520615394,PRIVADA,1,Health Services,1,32,16.15%, 1 ,NO
20262996329,PRIVADA,1,Pharma & Life Sciences ,17,1216,-4.14%, 3 ,NO
20441805960,PRIVADA,1,Banking & Capital Markets,1,1235,37.78%, 3 ,SI
20600216512,PRIVADA,1,Retail,1,80,20.99%, 3 ,NO
20563529378,PRIVADA,1,Retail,1,1424,56.81%, 3 ,NO
20297182456,PRIVADA,1,Consumer,1,1103,4.56%, 3 ,NO
20505434804,PRIVADA,1,Retail,1,21,-13.33%, 1 ,NO
20101152724,PRIVADA,1,Hospitality & Leisure,1,720,16.26%, 1 ,NO
20163901197,PRIVADA,1,Consumer,15,794,-4.14%, 3 ,NO
20204621242,PRIVADA,1,Transportation & Logistics,2,4588,4.56%, 3 ,SI
20392776975,PRIVADA,1,Metals and Mining,1,268,137.65%, 3 ,SI
20433763221,PRIVADA,1,Engineering & Construction,24,156,172.96%, 3 ,SI
20138149022,PRIVADA,1,Education - National,37,5045,22.36%, 3 ,SI
20536612972,PRIVADA,1,Engineering & Construction,1,53,57.68%, 1 ,NO
20269300141,PRIVADA,1,"Regional, State, Local & City Government",1,213,7.94%, 1 ,NO
20132515680,PRIVADA,1,Consumer,1,119,-4.19%, 1 ,NO
20522025071,PRIVADA,1,Metals and Mining,1,18,16.79%, 3 ,NO
